id_review,title,caption,rating,timestamp,username,userlink,n_review_user,location,n_votes_review,date_of_experience
776849787,Iconic venue visit!,"Fantastic day out, whatever the autumnal weather has to throw at ya! The Falconry display was the highlight. Genuinely amazing",4.0,9 Nov,Chizzamerica,/Profile/Chizzamerica,522,"London, United Kingdom",146, October 2020
776743729,Castle After Dark! (Halloween special!),"I treated my new boyfriend to the Halloween special 'Castle after Dark' at Warwick Castle.I thought the admission tickets were a great price, so I added a dungeon tour too! It was about £65 for both admission + dungeon (for 2 people), which was a good price for 4 hours of spooky fun before the 10pm curfew and well worth it ! We even booked a cheap Premier Inn in Warwick for £31 so we could enjoy a drink at the event! Excellent decorations and set up - lots of actors which was great and really made it! The courtyard looked brilliant with the projector lights, and the spooky maze was AMAZING! It was super scary and we didn't expect it!! :) 100% love these events at Warwick Castle, after doing the Dragon Slayer last summer too! Only downside to the event this year was the wait to get a drink. Due to COVID restrictions it was all table service and the poor waiting team were rushed off their feet and being moaned at by people for waiting. We waited patiently for 30 minutes before anyone came to us. You had to hold up the menu to say you were ready and we had to swap arms between us because it was achy after a while! But sadly it started to rain and there weren't any umbrellas or anything in the courtyard which put a little bit of a downer on waiting patiently getting wet. But the staff when they came were apologetic and so lovely! Would have helped if they had more support and the general public weren't so rude!",5.0,8 Nov,Hatii,/Profile/Hatii,3,,4, October 2020
776390372,No Castle after dark,"We have done Halloween at Warwick for a number of years and was disappointed this year because of Merlins attitude to its pass holders. It was a mare to get tickets as a pass holder as they were not available for that week but if I paid could get them, many emails later got some. Up until this year your pass/ticket allowed you to stay until 9pm to enjoy the castle after dark. But when we arrived realised had to leave by 5pm as now charging £10 a head to stay after dark! Only extra could see for the price were street food sellers and tables. Shame as use to be really good at Halloween. We enjoyed the shows, haunted hallows and Castle but Merlin have spolt it!",3.0,3 Nov,hms02,/Profile/hms02,58,"Kent, United Kingdom",18, October 2020
776218381,Fantastic Spooky experience at Warwick Castle,"Had a fantastic time for the Halloween experience, paid extra for the dungeons (superb, such fun). Well worth the visit and price paid.",5.0,1 Nov,mrsnorton2018,/Profile/mrsnorton2018,10,"Hillingdon, United Kingdom",8, October 2020
776161729,Castle after dark,"Warwick castle after dark... within the first two minutes the headless lords page gave a good fright, nothing compared to his screech through the portcullis! State rooms were great, the lighting was perfect. Then onto the dungeons, which was quite frankly terrible, but only because I wish id brought fresh underwear! Great evening even with social distancing, still very involving. Drinks were as expensive as they could be ofcourse, but you would be naive not to have anticipated as such. The castle looked formidable, and also props to the knight in the main courtyard, seemed to be enjoying themselves which certainly made me feel welcome.",5.0,Oct 2020,Brent R,/Profile/brentr585,3,,0, October 2020
776100054,Disappointing & expensive,"There’s no denying it is a beautiful place to visit, but make sure you take out a small loan before attending!As a family of four (two kids aged 10&8) it was over £70 to get in, then you need to pay for the dungeons, another £40 then the spooky experience was also ticketed inside (didn’t check prices) £5 per child for Archery, to join in with the Knights school you had to but a sword, the money kept mounting up! Food was nice but £7 for a kids sandwich meal was a little OTT especially as they ran out of popcorn!The Halloween event wasnt very atmospheric, didn’t feel like much effort was put in apart from the maze which was the highlight! Disappointed to say the least!",2.0,Oct 2020,80leann,/Profile/80leann,7,"Greater London, United Kingdom",1, October 2020
776067140,Poor effort for Halloween,"For a Halloween event it didn’t feel very Halloweeny. Really poor effort by Warwick castle, minimum decorations, entertainment and attractions just felt like a normal day. Came with three 11 years olds who all found it so disappointing. Just because it was a daytime Halloween event it doesn’t excuse the lack of atmosphere and activities.",3.0,Oct 2020,KCC,/Profile/KCC060,2,,1, October 2020
776065918,Lovely day!,"We visited today for the Halloween haunted castle 2 adults and 5 children all under 7years. We had the best day even with all the new restrictions in place, ques were no problem and went quick. All the staff were very kind and welcoming and the children loved them! Thanks for the best Halloween!",5.0,Oct 2020,Phoenix,/Profile/Phoenixgriffin,1,,1, October 2020
775973849,4th and Last Halloween Visit,"This was our 4th visit for Halloween. Very disappointed and will not be returning. All previous visits have been amazing and in previous visits we spent all day and until late at night at the castle, with many activities to keep us busy. Didn’t realise when I purchased this break that the tickets only allowed us access until 5pm and we would have to pay the same again if we wanted to stay for the evening. This has not been the case in previous visits. This time, all activities (greatly reduced) were focussed on very small children with nothing for the older ones (mine are 11 and 12). We had done everything of interest by lunch time so left for our hotel. Only going back the next day because I had pre-booked tickets for the dungeon on that day. So disappointed as this has always been something we looked forward to for Halloween.",2.0,Oct 2020,TheBeckster33,/Profile/TheBeckster33,4,"Stoke-on-Trent, United Kingdom",5,N/A
775972914,Queues and more queues,This was the single most expensive thing we booked for our holiday - and it wasn't good.We took a packed lunch thankfully - food and drink on site were very expensive.Mostly though it was the queues - you had to queue to get into absolutely everything. We walked round the grounds for a bit and left very disappointed.,3.0,Oct 2020,Jane G,/Profile/janeg894,149,"Knutsford, United Kingdom",89, October 2020
